prodi,logika,matematika,teknologi,analisis,komunikasi,kepemimpinan,kreativitas,pelayanan,kesehatan,sosial,bisnis,lapangan
Teknik Elektro,5,5,5,5,2,2,2,1,1,1,1,4
Teknik Industri,4,5,4,5,3,4,3,2,1,2,4,4
Teknik Informatika,5,5,5,5,2,2,3,1,1,1,2,2
Teknik Sipil,5,5,3,5,3,3,2,1,1,2,2,5
Akuntansi,4,5,2,5,3,3,1,1,1,1,5,1
Manajemen,3,3,2,4,5,5,3,2,1,3,5,2
Ilmu Keperawatan,3,3,1,4,5,3,2,5,5,5,1,3
Profesi NERS,3,3,1,5,5,4,2,5,5,5,1,4
Fisioterapi,3,3,1,4,5,3,2,5,5,5,1,4
Agribisnis,3,3,2,4,3,3,2,2,1,3,5,5
Ilmu Hukum,4,3,1,5,5,4,2,2,1,4,2,1
Hospital dan Pariwisata,2,2,2,3,5,4,4,5,1,4,4,3
Pendidikan Guru SD,3,3,1,4,5,4,3,5,1,5,1,2
